Year;AG.AGR.TRAC.NO;AG.LND.AGRI.K2;AG.LND.CREL.HA;AG.LND.TOTL.K2;AG.PRD.CREL.MT;AG.PRD.FOOD.XD;AG.PRD.LVSK.XD;AG.SRF.TOTL.K2;EG.EGY.PROD.KT.OE;EG.ELC.COAL.KH;EG.ELC.HYRO.KH;EG.ELC.LOSS.KH;EG.ELC.NGAS.KH;EG.ELC.NUCL.KH;EG.ELC.PETR.KH;EG.ELC.PROD.KH;EG.ELC.RNEW.KH;EG.IMP.CONS.ZS;EG.USE.COMM.FO.ZS;EG.USE.COMM.KT.OE;EN.ATM.CO2E.KT;EN.CO2.BLDG.MT;EN.POP.DNST;EN.URB.LCTY;FD.AST.PRVT.GD.ZS;FI.RES.TOTL.CD;FM.AST.DOMS.CN;FM.LBL.MONY.CN;FP.CPI.TOTL;FP.CPI.TOTL.ZG;FR.INR.LEND;FR.INR.RINR;IP.JRN.ARTC.SC;IP.PAT.NRES;IP.PAT.RESD;IP.TMK.TOTL;IS.AIR.PSGR;IS.ROD.ENGY.KT;IS.ROD.SGAS.KT;IT.MLT.MAIN;MS.MIL.MPRT.KD;MS.MIL.TOTL.P1;MS.MIL.TOTL.TF.ZS;MS.MIL.XPND.CN;MS.MIL.XPRT.KD;NE.CON.GOVT.CD;NE.CON.PETC.CD;NE.DAB.TOTL.CD;NE.EXP.GNFS.CD;NE.TRD.GNFS.ZS;NY.GDP.DEFL.KD.ZG;NY.GDP.FRST.RT.ZS;NY.GDP.TOTL.RT.ZS;NY.GDS.TOTL.CD;NY.GSR.NFCY.CD;NY.TRF.NCTR.CD;SE.ENR.TERT.FM.ZS;SE.PRE.ENRR;SE.PRE.ENRR.FE;SE.PRM.ENRL;SE.PRM.ENRL.FE.ZS;SE.PRM.ENRL.TC.ZS;SE.PRM.ENRR;SE.PRM.NENR;SE.PRM.PRIV.ZS;SE.PRM.UNER;SE.SEC.ENRL;SE.TER.ENRR;SE.XPD.TOTL.GB.ZS;SH.DTH.IMRT;SH.DTH.MORT;SH.DYN.MORT;SH.MED.BEDS.ZS;SL.EMP.SELF.ZS;SL.UEM.TOTL.NE.ZS;SP.ADO.TFRT;SP.DYN.AMRT.FE;SP.DYN.AMRT.MA;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SP.DYN.LE00.IN;SP.POP.0014.TO.ZS;SP.POP.1564.TO.ZS;SP.POP.65UP.TO.ZS;SP.POP.GROW;SP.POP.SCIE.RD.P6;SP.POP.TOTL;SP.RUR.TOTL;SP.URB.TOTL;TG.VAL.TOTL.GD.ZS;TM.VAL.AGRI.ZS.UN;TM.VAL.FOOD.ZS.UN;TM.VAL.FUEL.ZS.UN;TM.VAL.MANF.ZS.UN;TM.VAL.MMTL.ZS.UN;TM.VAL.MRCH.AL.ZS;TM.VAL.MRCH.CD.WT;TM.VAL.MRCH.HI.ZS;TM.VAL.MRCH.OR.ZS;TM.VAL.MRCH.R1.ZS;TM.VAL.MRCH.R3.ZS;TM.VAL.MRCH.R4.ZS;TM.VAL.MRCH.R5.ZS;TM.VAL.MRCH.R6.ZS;TX.VAL.AGRI.ZS.UN;TX.VAL.FOOD.ZS.UN;TX.VAL.FUEL.ZS.UN;TX.VAL.MANF.ZS.UN;TX.VAL.MMTL.ZS.UN
1996;4357177;4163060;64855617;9158960;335783480;87.71;89.74;9629090;1678270.582;1925010000000;350924000000;252160000000;478765000000;715212000000;96741000000;3651240000000;422867000000;20.5789419883513;85.5092233379397;2113130.477;5286046.506;612.2;29.4131648134723;17119854;46.1149848151898;160660248052.918;6031790000000;1172300000000;71.9312285175104;2.93120419993448;8.27083333333333;6.32888808374851;193161.2;105054;106892;212510;571072000;444255;330329;166446000;595000000;1572100;1.13253259343221;271417000000;10893000000;1176500000000;5268100000000;8196600000000;867600000000;22.611787363275;1.82635714957846;0.21666798046732;0.940328072004689;1655600000000;-24800000000;-49600000000;130.851;72.1669;71.64686;24045968;48.52157;16.03388;102.7519;95.37942;11.56221;1081306;21473692;77.45111;14.46405;30479;36496;9.2;3.9000000954;8.39999961853027;5.40000009536743;52.9864;86.968;157.77;14.4;8.8;75.9965853658537;21.8091163635254;65.6397552490234;12.5511274337769;1.16341161998189;3102.26942;269394000;60247274;209146726;17.8649662971285;2.03887849610117;4.93348534252006;9.44628973494568;77.9637546254964;2.32373973808621;1.95490882235705;822025000000;68.4731260102659;31.5133018851776;12.5297424723728;14.7494540590374;0.422716034891313;1.33735361079117;1.96090011175589;3.07267756373651;10.7862169836343;2.04908603466298;78.0146468943908;2.22183568502024
1997;4370245;4148850;63773738;9158960;336576644;91.08;90.77;9629090;1675386.472;1976010000000;333177000000;217283000000;505647000000;666363000000;108319000000;3672220000000;403130000000;21.509365372103;86.4564151221467;2134504.938;5419440.965;595.98;29.7694279699879;17298295;46.4131497938084;134836014670.108;6538340000000;1178600000000;73.612757608346;2.33768993730763;8.44166666666667;6.61748482791413;189751.9;101282;119214;234610;590571392;454125;334245;173867000;600000000;1533300;1.08530517042979;276324000000;14546000000;1224600000000;5560800000000;8710500000000;953800000000;23.3443689376779;1.71095936252563;0.196275676663881;0.805769976285626;1823100000000;11800000000;-51400000000;130.851;72.1669;71.64686;24045968;48.52157;16.03388;102.7519;95.37942;11.56221;1081306;21473692;77.45111;14.46405;29129;34752;8.9;3.7999999523;8.19999980926514;4.90000009536743;51.33;85.238;149.188;14.2;8.7;76.4292682926829;21.7290420532227;65.7618179321289;12.5091390609741;1.20396029701272;3203.81615;272657000;59962727;212694273;18.4492304118023;1.90539337436627;4.99457239580214;9.21475399848659;78.2184726581041;2.32977205231108;2.01340138620449;899020000000;66.9478910397424;33.0349955992625;13.2238656834829;15.4232552550147;0.468191736405282;1.43417308974055;1.93561237013374;2.67219583271158;9.08251077915708;1.88015908861564;80.7857503245687;2.14130978562644
1998;4414705;4145880;61564360;9158960;349447669;92.02;92.27;9629090;1688350.143;2006310000000;296095000000;228478000000;558449000000;714124000000;147099000000;3804500000000;365559000000;21.5694621529106;86.0865176942721;2152669.342;5456092.63;544.88;30.1184850681737;17478845;47.1152149277706;146006229280.972;7151940000000;1187170000000;74.7554330587089;1.55227909874327;8.35416666666667;7.19140027838155;190431.4;102246;134733;246611;588170880;469718;344554;179850000;280000000;1594000;1.11197058236481;274278000000;15837000000;1272100000000;5903100000000;9251900000000;952900000000;22.7591290666843;1.08475715893752;0.209031848318333;0.481868304905356;1913900000000;78400000000;-60000000000;131.951;59.00266;59.17493;24045968;49.44092;15.67606;102.88053;95.37942;11.5779;1081306;21473692;70.39411;14.46405;27785;33380;8.7;3.7000000477;7.90000009536743;4.5;49.7042;83.401;145.251;14.3;8.6;76.5804878048781;21.6205558776855;65.9193496704102;12.4600954055786;1.16571452642589;3367.30057;275854000;59647910;216206090;17.8949620974574;1.73208155190745;4.89297102412597;6.60059135416862;80.6291149429361;2.31787668773606;1.53220146650817;944353000000;66.509490384707;33.4761769167338;14.0171780673721;15.3069515705102;0.474662138917087;1.53053955094406;1.48596422329794;2.34992230941119;8.39484463374912;1.57012187982875;82.2734776054791;1.93237887302846
1999;4459165;4138870;58530201;9158960;335552820;93.68;95.81;9629090;1670168.373;2018810000000;277913000000;220339000000;581933000000;771811000000;135722000000;3873640000000;351308000000;24.4576336793428;85.7846429164788;2210902.907;5531691.502;563.53;30.4663411566379;17661279;47.1365860724003;136450057505.604;7771530000000;1281510000000;76.391102265249;2.18802719697382;7.99416666666667;6.47359439006458;188004.1;116512;149251;260761;634364608;483865;352655;189502000;234000000;1575000;1.08439146818419;280969000000;11587000000;1357600000000;6316800000000;9927100000000;989200000000;23.1726620937956;1.42812148431047;0.185152734202575;0.431172827700439;1991300000000;59600000000;-57600000000;132.093;59.19808;58.20234;24937932;49.47445;15.41492;102.54151;95.60721;11.57565;840817;22444832;71.906;14.74311;27048;32613;8.6;3.5999999046;7.69999980926514;4.19999980926514;48.0784;83.645;144.537;14.2;8.64;76.5829268292683;21.4918975830078;66.0979232788085;12.410174369812;1.14834004729055;3424.43632;279040000;59318323;219721677;18.1594400819392;1.65529488286336;4.59788192859158;7.49594333784105;79.8959879795846;2.12885035910868;1.84754120250267;1059440000000;65.9304803143598;34.064598275599;14.117799099649;15.6857927666718;0.724353349610865;1.49330459331604;1.41169121013276;2.07706376086991;7.92751520945798;1.53818475862319;83.1475806132099;1.79958788418713
2000;4503625;4143990;58526107;9161920;342628297;95.96;97.44;9632030;1667283.779;2129500000000;253204000000;229124000000;634290000000;797718000000;118482000000;4025890000000;330364000000;26.6590181919195;85.8807532646687;2273331.687;5713560.034;595.08;30.7973013298523;17813371;48.7904603632759;128399558849.404;8403920000000;1211510000000;78.9707207568715;3.37685727149926;9.23333333333333;6.80646710504718;192743;131100;164795;292464;665327414;490739.082;357779;192513000;345000000;1454800;0.988757249648965;301697000000;7558000000;1444200000000;6801600000000;10669800000000;1094300000000;24.9637987502065;2.27220906567321;0.173703305079765;1.00219136374138;2043900000000;131600000000;-66100000000;132.788;58.7236;59.14423;24973176;48.39238;15.00811;101.49734;95.72964;11.57565;826779;22593562;67.84923;14.74311;26675;31827;8.4;3.5;7.40000009536743;4;46.4526;83.253;143.763;14.4;8.7;76.6365853658537;21.3496074676514;66.2855377197266;12.3648567199707;1.11276899679534;3454.77092;282162411;59093274;223069137;19.8374879734103;1.42339547531868;4.07456663653198;11.0999689797478;77.2179806228755;2.17823659402637;2.47714920250353;1259300000000;64.3987643852211;35.5903250555219;14.3139753684636;16.3015626892792;0.917779123763376;1.48012113870382;1.89418938017363;2.29575091140147;7.43651219306857;1.8508289473488;82.7437114083965;1.91049333405727
2001;4548085;4149440;55161186;9161920;324983273;93.68;96.82;9632030;1688631.389;1982120000000;188252000000;169454000000;659914000000;792604000000;129557000000;3838830000000;260426000000;24.3043481721095;86.3466683070583;2230816.894;5601404.839;577.73;31.1036283879362;17867738;49.947846590323;130076681861.118;9164812934542.57;1213522198181.05;81.2025684592533;2.82617111885432;6.92166666666667;4.52682407686886;190593.6;148958;177513;216308;622187846;494854.928;359485;191570800;502000000;1420700;0.958527160373441;312743000000;5691000000;1545100000000;7106900000000;10994300000000;1028800000000;22.8379433992452;2.29112728808889;0.176011766639174;0.862665761213856;1973300000000;163300000000;-72600000000;133.58;62.49007;59.14423;25297600;48.73849;15.44419;101.93897;95.85254;11.57565;774457;23087042;68.61805;16.73858;26842;31919;8.3;3.5;7.40000009536743;4.69999980926514;44.8268;84.092;144.198;14.1;8.5;76.7365853658537;21.1945095062256;66.4787826538085;12.3267068862915;0.989741382223669;3524.14483;284968955;59176653;225792302;17.9597752534046;1.3991383390144;4.39997231548773;10.936037165294;76.9474083593249;2.09409598876193;2.61751273121669;1179180000000;63.6161231009092;36.3756069040901;14.7259208419126;16.5664014506385;0.985468195260005;1.49447960886991;1.85220773278426;2.30605966142985;7.94586902396288;1.89816080707816;81.7557885487931;1.96147813213566
2002;4592545;4130640;53561111;9161920;297128935;94.1;98.82;9632030;1655769.447;2039670000000;267034000000;249615000000;712432000000;804519000000;106138000000;4026400000000;348137000000;26.6045748884622;86.2491679834746;2255957.295;5650949.676;579.03;31.3935499327652;17922346;50.0781571434449;157762834846.954;9657642556363.5;1224233720540.51;82.4904668765521;1.58603162650583;4.675;3.09085487402624;190496.1;150200;184245;212637;598410415;507577.741;368183;189250143;505000000;1467000;0.984514274983857;356720000000;4943000000;1651400000000;7385200000000;11405200000000;1004700000000;22.1708165607184;1.53664951940648;0.163076691618926;0.645488113265817;1943600000000;118700000000;-73500000000;135.638;64.26421;65.18773;24855480;49.00957;14.82712;99.51387;93.97737;10.33251;1255751;23196310;78.7994;16.04284;27329;32400;8.2;3.4000000954;7.19999980926514;5.80000019073486;43.201;83.75;144.426;14;8.5;76.8365853658537;21.0272312164307;66.6739273071289;12.2988376617432;0.927797485710314;3607.81853;287625193;59224903;228400290;17.2431558623705;1.35923639892287;4.59329534576605;10.1359988942345;77.9310717860301;1.79161293214279;2.29184720685956;1200230000000;61.9714240566862;38.018953601517;16.658153208972;16.7068720320024;0.781197761162998;1.61627897306243;1.51638792092547;2.40103465144829;8.19079585102726;1.83749784511795;81.482649733063;1.96282606837608
2003;4551998;4139250;57808614;9161920;348240995;95.67;99.06;9632030;1634282.155;2083330000000;278609000000;227573000000;670192000000;787818000000;137015000000;4054650000000;360433000000;27.7234496155199;86.2782745813566;2261151.295;5681664.468;601.8;31.6645346171981;17977121;51.2138461811198;184024327169.699;10227500000000;1318722188582.54;84.3630788186188;2.27009497336108;4.1225;2.08249698858943;196445.3;153500;188941;220965;588997110;519378.742;368709;182933281;592000000;1480000;0.988608953724417;415223000000;5569000000;1755600000000;7764300000000;12013100000000;1043400000000;22.4778930178419;1.99838666920402;0.147408149473731;0.921927171803978;1992300000000;80100000000;-80600000000;137.545;61.63839;65.18773;24848518;48.85524;14.81356;99.45843;93.68899;10.80683;1380546;23854458;80.66302;16.07396;27926;33036;8.1;3.3;7.59999990463257;6;42.4946;83.425;143.705;14.1;8.44;76.9878048780488;20.8538131713867;66.8584518432617;12.2877349853516;0.859481712840946;3845.39632;290107933;59231337;230876596;17.614539358246;1.2663075225542;4.65972998580999;12.5090412629341;76.1130117036585;1.68346479546733;2.88693107384453;1303050000000;60.5353211114601;39.4548344837625;17.8761903302664;16.2450912043882;1.00388413480323;1.60672177490405;1.99628440753537;2.62024957058063;8.74295911883976;2.08568552135832;80.4445785595065;2.07305665437085
2004;4511452;4115210;56778332;9161920;389025848;100.51;97.94;9632030;1645543.984;2090500000000;271118000000;265918000000;731552000000;813339000000;139089000000;4148080000000;357987000000;28.6970144929794;86.1246207627517;2307819.192;5790765.052;586.39;31.9589450682826;18032139;53.0740905540046;190464849517.014;10956953522254.9;1404769853877.03;86.6216781201728;2.67723669309177;4.34;1.55611021959254;202097.3;167407;189536;248406;678110608;525848.979;373807;177690711;558000000;1473000;0.977249460074649;464676000000;6637000000;1868900000000;8257800000000;12891800000000;1183100000000;24.2811761831066;2.74123317089234;0.108733895040563;1.09333466925644;2150300000000;96600000000;-96900000000;140.094;64.20377;62.63237;24559494;48.69113;14.21109;98.86946;92.31477;10.28787;1648192;24185786;80.742;15.19426;29203;33961;8.1;3.3;7.59999990463257;5.5;41.7882;81.399;140.467;14;8.34;77.3390243902439;20.6816520690918;67.0175933837891;12.3007564544678;0.925483968943482;3739.91293;292805298;59272576;233532722;19.0645516005539;1.40321797375247;4.37896588781174;14.1753519027447;74.6388125132974;2.00406467426381;3.26522973247589;1525680000000;58.7443279776069;41.2497853120678;18.8377876982176;16.2299946901611;1.40528492857939;1.5955148249392;2.39838213796404;2.64516896483671;7.94665880473678;2.53212063368638;80.4291508179818;2.42887010941681
2005;4470905;4117840;56803359;9161920;366440101;99.33;99.68;9632030;1631042.483;2153960000000;272445000000;269162000000;782829000000;810726000000;141290000000;4268890000000;366205000000;29.6619154293787;86.0190792488441;2318861.102;5826393.624;568.18;32.2548765979183;18087174;55.021140338134;188259191182.4;11971536015112.6;1405051076739.34;89.5605323721102;3.39274684549547;6.18916666666667;2.88910696749184;205564.6;182866;207867;264510;720547738;530111.606;373930;175160940;523000000;1546000;1.01259878552858;503353000000;6605000000;1980000000000;8790400000000;13811100000000;1310400000000;25.4784122669029;3.2073946372355;0.11514977351197;1.47279603655561;2325000000000;127300000000;-114900000000;141.279;63.52939;60.87382;24454602;48.54675;14.12972;99.5522;92.61824;10.26125;1428083;24431934;81.31697;14.63934;29285;34071;8;3.2;7.5;5.09999990463257;41.08179;81.397;141.797;14;8.26;77.3390243902439;20.5165214538574;67.1398620605469;12.3436136245728;0.921713167161207;3692.78345;295516599;59316092;236200507;20.1123142477511;1.32453039601504;4.20992723705486;17.1956799535011;71.8263852978925;2.16676790727216;3.68401519174382;1732710000000;56.7478182070048;43.2440837623808;20.069055479879;16.2131808002216;1.5772978089719;1.65416849444739;2.92995751852792;2.53018276698225;7.4432937976942;3.27433586431444;79.8909270420252;2.83105519779882
